x,c2sJavaNormal,c2sJavaAug,c2sJavaAdvRand,c2sJavaAdvGrad,csnJavaNormal,csnJavaAug,csnJavaAdvRand,csnJavaAdvGrad,csnPythonNormal,csnPythonAug,csnPythonAdvRand,csnPythonAdvGrad,sriPythonNormal,sriPythonAug,sriPythonAdvRand,sriPythonAdvGrad
1,37.8,38.8,40.0,40.7,32.3,32.6,38.1,37.8,28.9,29.8,36.6,36.2,34.3,33.7,41.8,41.8
2,29.5,33.8,33.6,34.8,23.5,29.1,34.0,34.3,21.7,27.2,33.3,33.5,29.3,30.5,37.8,38.1
3,18.8,31.7,30.4,31.3,15.9,26.3,30.6,32.1,15.2,24.2,30.8,31.6,25.2,27.9,34.7,35.4
4,23.3,27.8,27.5,32.0,17.2,21.4,30.1,32.8,16.2,20.9,29.8,32.2,22.0,24.0,33.4,37.1
5,11.5,23.5,21.7,26.3,9.8,15.6,25.1,29.7,10.4,14.4,25.3,29.4,16.5,19.1,28.1,33.4
